product_id,product_name,category,brand,price
880510,Bread,Dairy & Breakfast,Roy-Char,951.43
41853,Curd,Dairy & Breakfast,Handa PLC,910.44
257719,Eggs,Dairy & Breakfast,Chaudhuri PLC,281.73
891833,Curd,Dairy & Breakfast,Mani PLC,493.19
741341,Eggs,Dairy & Breakfast,Prasad LLC,923.84
500739,Bread,Dairy & Breakfast,Aggarwal Group,359.98
500633,Cereal,Dairy & Breakfast,Trivedi-Ahluwalia,154.5
799952,Cheese,Dairy & Breakfast,Padmanabhan-Virk,922.64
798639,Eggs,Dairy & Breakfast,Subramaniam LLC,211.25
329351,Cheese,Dairy & Breakfast,"Lala, Kalita and Sathe",310.87
833557,Cereal,Dairy & Breakfast,"Gole, Chand and Dada",422.87
324809,Bread,Dairy & Breakfast,Sidhu PLC,608
337168,Eggs,Dairy & Breakfast,Dasgupta PLC,545.49
659290,Cheese,Dairy & Breakfast,Kapadia-D’Alia,319.34
883013,Eggs,Dairy & Breakfast,Chahal Group,989.88
839170,Curd,Dairy & Breakfast,Shetty and Sons,481.63
455083,Butter,Dairy & Breakfast,Dutta Inc,959.01
183929,Bread,Dairy & Breakfast,"Nagi, Sampath and Khurana",738.74
592784,Biscuits,Snacks & Munchies,"Andra, Mander and Kari",280.35
578097,Nuts,Snacks & Munchies,Jha Group,267.61
487065,Chips,Snacks & Munchies,Kadakia-Yadav,374.68
734789,Popcorn,Snacks & Munchies,"Chaudhari, Pant and Singh",395.82
949818,Biscuits,Snacks & Munchies,Yohannan Inc,483.05
690565,Cookies,Snacks & Munchies,"Roy, Seth and Patla",951.27
961614,Chocolates,Snacks & Munchies,Goda Inc,227.22
361361,Biscuits,Snacks & Munchies,"Kunda, Dave and Sahni",826.21
291238,Chocolates,Snacks & Munchies,"Sinha, Pau and Chhabra",746.03
654623,Chips,Snacks & Munchies,Pradhan and Sons,422.14
313754,Biscuits,Snacks & Munchies,"Swaminathan, Mahal and Dara",136.6
563740,Chips,Snacks & Munchies,Mann-Kapadia,96.33
378230,Nuts,Snacks & Munchies,Kala-Vig,166.42
658389,Popcorn,Snacks & Munchies,"Chanda, Som and Vohra",152.55
990993,Chocolates,Snacks & Munchies,Guha-Subramaniam,263.7
762527,Biscuits,Snacks & Munchies,"Chad, Yohannan and Chopra",690.08
952168,Popcorn,Snacks & Munchies,"Krishnamurthy, Sibal and Das",236.95
542300,Popcorn,Snacks & Munchies,Gulati-Tandon,255.35
602241,Nuts,Snacks & Munchies,Bahl-Pau,976.55
587420,Cookies,Snacks & Munchies,Raj and Sons,357.42
491521,Nuts,Snacks & Munchies,Karpe Inc,556.35
914071,Chips,Snacks & Munchies,Datta Ltd,296.94
832348,Biscuits,Snacks & Munchies,Jani-Ram,831.43
567671,Biscuits,Snacks & Munchies,Nagar LLC,418.48
481843,Chocolates,Snacks & Munchies,"Taneja, Kala and Kota",297.68
991434,Cookies,Snacks & Munchies,Mital-Oza,237.62
540618,Popcorn,Snacks & Munchies,Golla-Luthra,317.05
319388,Orange Juice,Cold Drinks & Juices,D’Alia-Dey,657.8
171602,Cola,Cold Drinks & Juices,Pal-Sehgal,883.44
60619,Iced Tea,Cold Drinks & Juices,Bhasin LLC,726.41
962591,Orange Juice,Cold Drinks & Juices,Murthy-Kaul,130.01
107548,Cola,Cold Drinks & Juices,"Bhandari, Bhasin and Palan",891.6
687218,Mango Drink,Cold Drinks & Juices,"Sankaran, Pall and Gola",317.82
328457,Mango Drink,Cold Drinks & Juices,Hayre-Shere,858.57
194682,Iced Tea,Cold Drinks & Juices,Sastry-Issac,912.29
681063,Mango Drink,Cold Drinks & Juices,Dass and Sons,321.28
679321,Cola,Cold Drinks & Juices,Khurana-Dewan,738.46
300159,Cola,Cold Drinks & Juices,"Basu, Rout and Mistry",44.35
378287,Lemonade,Cold Drinks & Juices,Ramesh-Jain,332.84
118820,Iced Tea,Cold Drinks & Juices,"Warrior, Ravel and Amble",12.32
667163,Orange Juice,Cold Drinks & Juices,Palla LLC,441.2
228286,Cola,Cold Drinks & Juices,Bhattacharyya PLC,179.08
561860,Orange Juice,Cold Drinks & Juices,Gupta Ltd,874.78
712003,Cola,Cold Drinks & Juices,"Karan, Bandi and Acharya",671.68
712307,Orange Juice,Cold Drinks & Juices,Chana LLC,264.89
513199,Cola,Cold Drinks & Juices,Rastogi Inc,422.23
962054,Orange Juice,Cold Drinks & Juices,Toor-Nagar,16.86
378676,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,881.42
890232,Mango Drink,Cold Drinks & Juices,Jha Group,432
532965,Frozen Pizza,Instant & Frozen Food,Sachdev Inc,307.23
365132,Instant Noodles,Instant & Frozen Food,Dar-Kumar,229.38
689769,Frozen Vegetables,Instant & Frozen Food,Kothari-Datta,46.62
969851,Frozen Vegetables,Instant & Frozen Food,"Kara, Sodhi and Bassi",340.66
305754,Frozen Vegetables,Instant & Frozen Food,Mammen-Hegde,979.99
398340,Instant Noodles,Instant & Frozen Food,"Nadig, Zachariah and Soni",651.93
491314,Ice Cream,Instant & Frozen Food,Banerjee Inc,973.44
33955,Frozen Pizza,Instant & Frozen Food,Baral Group,186.08
470449,Frozen Biryani,Instant & Frozen Food,Kohli-Sawhney,827.77
954722,Ice Cream,Instant & Frozen Food,Mohan-Virk,616.45
623234,Frozen Biryani,Instant & Frozen Food,Chakrabarti-Batra,329.79
131937,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",287.81
606256,Frozen Biryani,Instant & Frozen Food,Agate Ltd,369.28
652118,Frozen Biryani,Instant & Frozen Food,Agate and Sons,22.04
187399,Frozen Pizza,Instant & Frozen Food,Chauhan Inc,53.49
925482,Frozen Biryani,Instant & Frozen Food,Viswanathan-Sha,475.04
611575,Frozen Pizza,Instant & Frozen Food,"Bhat, Nigam and Hayer",482.06
621677,Frozen Biryani,Instant & Frozen Food,Sabharwal-Mital,317.8
306177,Frozen Biryani,Instant & Frozen Food,Som Inc,769.24
272170,Ice Cream,Instant & Frozen Food,Purohit Group,140.8
721521,Rice,Grocery & Staples,"Ramanathan, Agarwal and Baria",417.39
692985,Pulses,Grocery & Staples,"Wable, Sankaran and Hari",197.39
487931,Sugar,Grocery & Staples,"Bahl, Jaggi and Nath",709.08
901144,Sugar,Grocery & Staples,Deo-Kamdar,340.36
764014,Salt,Grocery & Staples,"Grewal, Swamy and Dayal",612.04
53833,Rice,Grocery & Staples,Tella-Master,134.69
876139,Pulses,Grocery & Staples,Cherian-Dara,415.75
903336,Pulses,Grocery & Staples,"Vaidya, Amble and Palla",551.88
120532,Wheat Flour,Grocery & Staples,Nazareth Ltd,697.53
945635,Pulses,Grocery & Staples,Balasubramanian PLC,778.9
760684,Rice,Grocery & Staples,Kanda-Gupta,71.6
354409,Pulses,Grocery & Staples,Bose-Pandit,325.08
937542,Wheat Flour,Grocery & Staples,Khurana and Sons,97.04
490602,Sugar,Grocery & Staples,Raghavan Inc,549.47
131136,Salt,Grocery & Staples,Deshpande-Rama,37.8
287070,Wheat Flour,Grocery & Staples,"Gala, Magar and Rajagopal",443.17
679865,Wheat Flour,Grocery & Staples,Memon-Barad,347.91
317242,Pulses,Grocery & Staples,Rastogi Group,198.15
644847,Salt,Grocery & Staples,"Jhaveri, Kata and Kapur",622.81
327290,Sugar,Grocery & Staples,Nadkarni Inc,862.28
993331,Pulses,Grocery & Staples,"Parmer, Gola and Yogi",102.44
807452,Pulses,Grocery & Staples,Naik Ltd,144.19
451933,Wheat Flour,Grocery & Staples,Nadig Ltd,568.94
461804,Sugar,Grocery & Staples,"Ghose, Ben and Divan",310.69
36412,Dish Soap,Household Care,Muni-Shankar,397.68
94225,Toilet Cleaner,Household Care,"Gulati, Ram and Sarkar",77.11
704868,Detergent,Household Care,"Parikh, Oak and Kara",193.46
18035,Dish Soap,Household Care,Ramesh Inc,968.94
435929,Toilet Cleaner,Household Care,Memon Ltd,856.89
820541,Toilet Cleaner,Household Care,"Borde, Peri and Upadhyay",576.22
552496,Dish Soap,Household Care,Dhar PLC,508
455755,Detergent,Household Care,Mangal-Sathe,44.09
91670,Dish Soap,Household Care,Barman-Ahluwalia,439.24
336847,Toilet Cleaner,Household Care,"Dayal, Mammen and More",936.98
144124,Detergent,Household Care,Lalla-Srinivasan,162.67
747801,Toilet Cleaner,Household Care,Saha-Vora,277.76
589812,Detergent,Household Care,Bir PLC,163.03
677542,Toilet Cleaner,Household Care,Thaman-Lanka,212.61
604184,Toilet Cleaner,Household Care,"Gaba, Sodhi and Choudhary",397.55
697683,Toilet Cleaner,Household Care,"Murty, Varghese and Saxena",123.74
894539,Dish Soap,Household Care,"Pall, Sule and Sood",445.48
739534,Toilet Cleaner,Household Care,"Gera, Narang and Karpe",994.56
968887,Dish Soap,Household Care,Keer-Gill,40.7
709916,Detergent,Household Care,Varkey LLC,33.76
739448,Dish Soap,Household Care,Mand-Choudhry,755.66
700048,Dish Soap,Household Care,Khalsa-Bhavsar,141.28
897083,Detergent,Household Care,Dutta-Halder,972.69
448752,Toilet Cleaner,Household Care,Batta-Doctor,160.07
365133,Dish Soap,Household Care,Hans Inc,915.45
133542,Detergent,Household Care,Edwin-Lall,68.49
767398,Dish Soap,Household Care,"Arya, Sundaram and Pingle",22.14
863930,Shampoo,Personal Care,"Sathe, Agarwal and Dhar",242.57
473647,Toothpaste,Personal Care,Ben-Ravi,43.05
9436,Toothpaste,Personal Care,Naidu PLC,88.43
385113,Lotion,Personal Care,"Sampath, Mane and Mody",816.38
112390,Toothpaste,Personal Care,"Kibe, Contractor and Randhawa",877.98
647462,Lotion,Personal Care,"Balan, Samra and Sekhon",326.42
34200,Lotion,Personal Care,Munshi-Grewal,319.8
753354,Shampoo,Personal Care,Sant-Mahajan,423.56
490939,Lotion,Personal Care,"Roy, Barad and De",80.25
672059,Toothpaste,Personal Care,Kaur-Gola,672.73
803607,Soap,Personal Care,"Kadakia, Mohan and Sathe",949.73
124290,Lotion,Personal Care,Sachdev Group,39.65
140489,Soap,Personal Care,"Biswas, Kapoor and Patel",650.2
799688,Lotion,Personal Care,Arora LLC,309.62
859361,Shampoo,Personal Care,Mitter Group,432.39
492958,Lotion,Personal Care,Acharya PLC,84.2
63769,Lotion,Personal Care,Dalal-Shan,878.07
684939,Lotion,Personal Care,"Sibal, Bhatnagar and Rajan",727.95
219598,Shampoo,Personal Care,Arora-Magar,367.08
140154,Shampoo,Personal Care,Malhotra LLC,171.2
449106,Soap,Personal Care,"Shere, Thakur and Naik",48.55
256051,Lotion,Personal Care,"Mannan, Naidu and Sama",400.92
615545,Soap,Personal Care,Barman Inc,448.16
366066,Soap,Personal Care,Mandal LLC,918.58
600767,Toothpaste,Personal Care,Balan Group,722.42
784827,Baby Wipes,Baby Care,Balakrishnan Ltd,274.25
6405,Baby Food,Baby Care,Kashyap-Reddy,236.51
853932,Baby Wipes,Baby Care,Ranganathan-Peri,941.19
970529,Diapers,Baby Care,"Kurian, Patla and Sanghvi",827.44
51036,Baby Food,Baby Care,Karnik PLC,931.61
820973,Baby Wipes,Baby Care,Lall LLC,114.52
367391,Baby Wipes,Baby Care,Talwar and Sons,939.55
433521,Diapers,Baby Care,Mahal Group,321.33
927651,Baby Wipes,Baby Care,Narula Group,426.72
930284,Baby Food,Baby Care,"Garg, Saraf and Dutta",189.47
4452,Baby Wipes,Baby Care,Morar-Mistry,169.88
82484,Baby Food,Baby Care,Mallick PLC,914.88
440875,Baby Wipes,Baby Care,Loyal Inc,275.03
432617,Baby Wipes,Baby Care,Dora-Pillai,863.18
953175,Baby Food,Baby Care,Sehgal-Nagarajan,225.21
57405,Baby Food,Baby Care,Srinivas PLC,607.67
707935,Cat Food,Pet Care,"Anne, Mammen and Khatri",820.9
942001,Cat Food,Pet Care,Acharya Ltd,671.55
585299,Pet Treats,Pet Care,"Sharma, Chandra and Prashad",799.46
120385,Pet Treats,Pet Care,Dubey-Sarin,597.91
52729,Cat Food,Pet Care,Saini LLC,316.02
661577,Cat Food,Pet Care,Majumdar PLC,720.95
951463,Pet Treats,Pet Care,Balakrishnan-Kaur,787.4
373536,Dog Food,Pet Care,Chauhan-Sabharwal,494.17
243235,Cat Food,Pet Care,Batta Inc,109.03
564692,Cat Food,Pet Care,"Krishna, Bail and Dyal",215.65
131748,Dog Food,Pet Care,"Shroff, Wason and Dugar",81.35
256783,Pet Treats,Pet Care,"Basu, Thakur and Rege",906.54
186168,Dog Food,Pet Care,"Parekh, Lad and Kadakia",878.8
537274,Pet Treats,Pet Care,Lal-Chauhan,702.71
525531,Dog Food,Pet Care,Sandal PLC,831.1
913428,Pet Treats,Pet Care,Narayanan-Kumar,392.22
757274,Pet Treats,Pet Care,"Minhas, Kapoor and Sethi",98.32
726958,Cat Food,Pet Care,Doctor-Patla,887.48
642612,Pet Treats,Pet Care,Pillay-Ahuja,517.03
613942,Pet Treats,Pet Care,"Dyal, Saraf and Goel",545
784673,Dog Food,Pet Care,Ramanathan Group,491.39
425341,Pet Treats,Pet Care,"Mani, Dhar and Muni",486.28
771228,Pet Treats,Pet Care,Raja and Sons,83.18
760828,Pet Treats,Pet Care,"Khurana, Khosla and Yohannan",563.45
723678,Dog Food,Pet Care,"Lall, Datta and Swamy",675.46
451812,Pain Reliever,Pharmacy,"Batra, Sant and Mandal",530.85
677169,Cough Syrup,Pharmacy,Char-Divan,261.03
274207,Cough Syrup,Pharmacy,"Savant, Batta and Mander",328.51
706112,Vitamins,Pharmacy,"Magar, Gara and Garg",478.79
557908,Vitamins,Pharmacy,Sundaram Inc,942.37
587645,Vitamins,Pharmacy,"Sura, Pillay and Mammen",801.81
837480,Cough Syrup,Pharmacy,Edwin and Sons,217.4
566052,Pain Reliever,Pharmacy,"Apte, Soman and Raju",87.3
137909,Cough Syrup,Pharmacy,Dalal PLC,864.3
799459,Vitamins,Pharmacy,"Garg, Kari and Kapur",852.02
264803,Vitamins,Pharmacy,Gole-Doshi,995.98
851978,Vitamins,Pharmacy,Parsa-Bala,715.72
992178,Pain Reliever,Pharmacy,Basu and Sons,632.43
56589,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",517.77
26060,Vitamins,Pharmacy,Shah and Sons,342.94
33797,Pain Reliever,Pharmacy,Gaba LLC,888.12
123983,Cough Syrup,Pharmacy,Kurian-Chhabra,785.67
237083,Cough Syrup,Pharmacy,Hayer-Banerjee,577.13
154179,Pain Reliever,Pharmacy,"Barad, Devi and Andra",582.87
298985,Vitamins,Pharmacy,"Ramanathan, Joshi and Srinivasan",183.76
444361,Pain Reliever,Pharmacy,"Prakash, Bawa and Kale",822.63
679284,Cough Syrup,Pharmacy,Pant LLC,877.89
240179,Cough Syrup,Pharmacy,Ram-Suri,90.56
673058,Cough Syrup,Pharmacy,Balan-Madan,765.76
114414,Vitamins,Pharmacy,Kara-Golla,832.06
