order_id,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
4328802292,18,3.65,Significantly Delayed,Traffic
7072715691,1,3.65,On Time,Traffic
5640741373,0,4.34,On Time,
6931094066,-4,3.82,On Time,
3417088709,21,1.29,Significantly Delayed,Traffic
4424404315,4,2.43,On Time,Traffic
2444087306,2,4.67,On Time,Traffic
486085268,5,0.53,On Time,Traffic
1731312620,-1,2.13,On Time,
6475582506,4,2.09,On Time,Traffic
1868581378,4,3.94,On Time,Traffic
8884235937,8,4.57,Slightly Delayed,Traffic
4590662628,15,2.1,Slightly Delayed,Traffic
992302540,3,3.48,On Time,Traffic
7169974633,-1,2.57,On Time,
6703651257,3,2.43,On Time,Traffic
7180810221,9,0.51,Slightly Delayed,Traffic
7875587578,10,3.53,Slightly Delayed,Traffic
2578671497,5,0.79,On Time,Traffic
6284350691,0,4.5,On Time,
5383261788,-4,2.11,On Time,
6590867973,-1,0.73,On Time,
8787105023,3,3.68,On Time,Traffic
1402916311,4,2.72,On Time,Traffic
9715205272,2,4.93,On Time,Traffic
3946852375,0,4.04,On Time,
3367039425,2,1.38,On Time,Traffic
687711388,12,1.67,Slightly Delayed,Traffic
647012431,18,0.92,Significantly Delayed,Traffic
7143278295,-4,1.65,On Time,
9736844695,-5,1.4,On Time,
5933289680,20,2.24,Significantly Delayed,Traffic
9494303116,5,3.87,On Time,Traffic
9337878102,-4,0.63,On Time,
6872621077,-5,3.42,On Time,
7330237253,-1,3.63,On Time,
7942616242,25,4.96,Significantly Delayed,Traffic
238520071,3,1.92,On Time,Traffic
5812379362,-4,4.52,On Time,
2616623847,15,4.33,Slightly Delayed,Traffic
2040854480,25,2.48,Significantly Delayed,Traffic
5456484560,25,3.76,Significantly Delayed,Traffic
883309006,8,3.46,Slightly Delayed,Traffic
6528341992,11,2.7,Slightly Delayed,Traffic
3263203775,-1,3.36,On Time,
3660010934,5,2.74,On Time,Traffic
7944885043,-2,2.23,On Time,
2506369831,13,4.07,Slightly Delayed,Traffic
697061213,3,1.48,On Time,Traffic
7079057004,22,3.58,Significantly Delayed,Traffic
1556153632,9,0.75,Slightly Delayed,Traffic
2161235338,9,4.68,Slightly Delayed,Traffic
1247978468,-1,1.56,On Time,
5437627061,1,4.76,On Time,Traffic
9091960039,0,2.76,On Time,
619198317,-5,4.77,On Time,
9833179291,-4,0.59,On Time,
4148760273,3,4.35,On Time,Traffic
7206041763,2,2.69,On Time,Traffic
690097648,10,1.87,Slightly Delayed,Traffic
4197061567,2,0.66,On Time,Traffic
2009394836,-2,3.18,On Time,
277502363,5,4.14,On Time,Traffic
4356959622,-5,3.45,On Time,
174306009,27,1.41,Significantly Delayed,Traffic
9582674091,22,3.55,Significantly Delayed,Traffic
8675579025,2,3.41,On Time,Traffic
5195999941,14,2.34,Slightly Delayed,Traffic
5210007923,1,2.16,On Time,Traffic
6595771960,4,1.75,On Time,Traffic
4247338382,29,4.26,Significantly Delayed,Traffic
819143326,5,4.37,On Time,Traffic
3830844750,-3,4.35,On Time,
1687314172,3,3.7,On Time,Traffic
6756007265,5,4.05,On Time,Traffic
489762747,26,3.26,Significantly Delayed,Traffic
7509195875,3,4.89,On Time,Traffic
2370917070,5,2.92,On Time,Traffic
2055388266,8,1.43,Slightly Delayed,Traffic
8969304162,-1,1.66,On Time,
5412674107,2,1.75,On Time,Traffic
1536516619,5,2.48,On Time,Traffic
3858907413,0,4.53,On Time,
4976389251,-5,1.42,On Time,
2218319201,-1,3.58,On Time,
6729422433,6,2.81,Slightly Delayed,Traffic
1354097448,2,1.71,On Time,Traffic
8952275304,0,1.27,On Time,
436603801,-3,3.24,On Time,
5273875984,14,0.98,Slightly Delayed,Traffic
9290203003,5,1.9,On Time,Traffic
6240982373,-3,0.97,On Time,
2718348206,-4,2.16,On Time,
4903544026,5,4.24,On Time,Traffic
2827266949,8,0.86,Slightly Delayed,Traffic
4278423074,3,1.71,On Time,Traffic
645916247,29,3.22,Significantly Delayed,Traffic
5816647866,17,1.15,Significantly Delayed,Traffic
7282397914,5,2.19,On Time,Traffic
3260611473,18,2.73,Significantly Delayed,Traffic
8638163868,5,1.66,On Time,Traffic
177850987,-3,2.9,On Time,
9653859166,14,0.95,Slightly Delayed,Traffic
9991338690,1,2.15,On Time,Traffic
1714593246,2,1.89,On Time,Traffic
9742461226,-3,1.16,On Time,
3314393477,3,4.51,On Time,Traffic
4188317986,10,2.74,Slightly Delayed,Traffic
1646665366,12,3.22,Slightly Delayed,Traffic
9558804585,6,1.81,Slightly Delayed,Traffic
9047652469,-5,3.21,On Time,
2893800377,-4,4.56,On Time,
6139157985,22,1.17,Significantly Delayed,Traffic
6029394789,9,2.43,Slightly Delayed,Traffic
5874940276,-5,1.62,On Time,
5205211911,14,0.86,Slightly Delayed,Traffic
5314758068,10,2.53,Slightly Delayed,Traffic
484869710,3,4.8,On Time,Traffic
9957728938,16,4.11,Significantly Delayed,Traffic
3136056666,12,2.35,Slightly Delayed,Traffic
4926104391,14,3.91,Slightly Delayed,Traffic
1827844756,3,1.67,On Time,Traffic
7032037874,0,2.75,On Time,
3779230503,-1,2.32,On Time,
3473012553,26,3.48,Significantly Delayed,Traffic
7988504487,-1,1.73,On Time,
7193792738,4,2.36,On Time,Traffic
1533583386,-3,4.03,On Time,
7750989397,4,2.23,On Time,Traffic
4434816229,-5,4.05,On Time,
6896732047,-2,4.18,On Time,
4740837071,5,4.31,On Time,Traffic
6649631729,-1,0.86,On Time,
5351526726,-4,2.79,On Time,
1506082041,-3,1.04,On Time,
1023260165,0,3.36,On Time,
8257032403,3,2.03,On Time,Traffic
7216524192,-3,3.33,On Time,
8619795820,21,4.22,Significantly Delayed,Traffic
6494708839,1,4.68,On Time,Traffic
9859249765,-3,4.49,On Time,
3528020011,3,2.96,On Time,Traffic
5937934264,15,1.83,Slightly Delayed,Traffic
2976477423,0,2.26,On Time,
1002438039,-1,1.4,On Time,
2571163022,14,4.14,Slightly Delayed,Traffic
6850221497,-5,3.02,On Time,
4706569127,5,4.56,On Time,Traffic
8168261752,23,2.24,Significantly Delayed,Traffic
5828325906,-2,4.29,On Time,
5012271549,28,2.59,Significantly Delayed,Traffic
8110316958,-3,1.73,On Time,
3190808443,-4,0.54,On Time,
7175472728,0,4.77,On Time,
6011117738,3,1.47,On Time,Traffic
5592928753,11,3.13,Slightly Delayed,Traffic
3952040848,-2,4.44,On Time,
7026479520,2,3.2,On Time,Traffic
6572695161,0,0.88,On Time,
9090769419,-4,2.74,On Time,
5979489110,2,1.9,On Time,Traffic
964698323,5,2.87,On Time,Traffic
2304242664,0,2.7,On Time,
2483843748,3,0.78,On Time,Traffic
2560588609,1,1.87,On Time,Traffic
9268920928,4,1.7,On Time,Traffic
9554019312,-5,3.54,On Time,
3749174258,11,2.28,Slightly Delayed,Traffic
3947164241,4,3.26,On Time,Traffic
487327038,3,1.42,On Time,Traffic
8830321199,15,1.29,Slightly Delayed,Traffic
3811318591,-2,4,On Time,
6795601573,-4,3.02,On Time,
2348495717,0,3.49,On Time,
9505736584,18,2.92,Significantly Delayed,Traffic
1857227304,4,3.14,On Time,Traffic
5506485302,-5,2.4,On Time,
6074837981,-2,3.59,On Time,
4150569633,24,3.71,Significantly Delayed,Traffic
609838437,-5,1.66,On Time,
5229657139,13,2.36,Slightly Delayed,Traffic
2589639350,-3,3.06,On Time,
7656948165,13,2.72,Slightly Delayed,Traffic
1806563605,4,2.11,On Time,Traffic
359819834,29,1.31,Significantly Delayed,Traffic
1908423841,1,1.43,On Time,Traffic
299859815,10,4.11,Slightly Delayed,Traffic
923659418,1,2.11,On Time,Traffic
3560625119,10,2.61,Slightly Delayed,Traffic
7111490680,8,1.85,Slightly Delayed,Traffic
5766981431,5,4.34,On Time,Traffic
8609945311,-3,3.22,On Time,
1691260635,4,3.43,On Time,Traffic
8742091504,13,3.54,Slightly Delayed,Traffic
1997833025,-2,2.37,On Time,
3588296877,25,3.92,Significantly Delayed,Traffic
2404804990,9,3.6,Slightly Delayed,Traffic
8091385479,5,1.44,On Time,Traffic
7133174424,1,1.38,On Time,Traffic
6110446321,3,4.49,On Time,Traffic
6964586050,-4,2.19,On Time,
2351986014,12,1.66,Slightly Delayed,Traffic
352569720,-5,4.29,On Time,
1235280275,1,1.62,On Time,Traffic
9399859705,-5,1.12,On Time,
7530379037,5,4.3,On Time,Traffic
5952886441,-2,3.27,On Time,
5815833211,0,4.11,On Time,
7307394687,-5,4.97,On Time,
6033014029,11,2.16,Slightly Delayed,Traffic
1409944718,3,4.11,On Time,Traffic
1811382200,-4,1.62,On Time,
4485391413,4,3.19,On Time,Traffic
4076279641,8,3.35,Slightly Delayed,Traffic
2965387566,5,3.9,On Time,Traffic
9397774189,-3,3.57,On Time,
1437159967,-1,0.58,On Time,
8397785448,4,1.34,On Time,Traffic
2778606949,0,2.56,On Time,
1774096863,0,3.85,On Time,
1497256618,3,3.64,On Time,Traffic
734095510,3,4.78,On Time,Traffic
5755859055,17,1.07,Significantly Delayed,Traffic
5840290569,-1,4.15,On Time,
8200985533,-3,4.54,On Time,
3255590064,3,0.57,On Time,Traffic
4258404747,-1,1.33,On Time,
2455161115,0,0.68,On Time,
4448004569,-5,1.77,On Time,
5951090793,3,4.97,On Time,Traffic
7402491996,2,1.19,On Time,Traffic
8532411923,7,4.22,Slightly Delayed,Traffic
7130555385,12,4.26,Slightly Delayed,Traffic
4338197132,-4,4.4,On Time,
8044366071,5,3.38,On Time,Traffic
4135251774,-1,2.86,On Time,
6331483812,9,0.54,Slightly Delayed,Traffic
6705171000,0,4.31,On Time,
7850128898,17,3.07,Significantly Delayed,Traffic
3602554049,19,1.84,Significantly Delayed,Traffic
1070259187,1,1.5,On Time,Traffic
8412338399,6,2.1,Slightly Delayed,Traffic
1478022303,-5,1.19,On Time,
2376108199,4,4.27,On Time,Traffic
5243035202,-4,2.6,On Time,
3687581971,13,4.62,Slightly Delayed,Traffic
7008586055,18,3.94,Significantly Delayed,Traffic
5142069216,0,4.56,On Time,
4152441944,-1,2.98,On Time,
5601670348,11,4.64,Slightly Delayed,Traffic
605105099,-2,2.32,On Time,
4054936140,5,4.95,On Time,Traffic
8741892156,10,1.27,Slightly Delayed,Traffic
9143640828,8,0.83,Slightly Delayed,Traffic
6900876252,-5,0.55,On Time,
9801174908,8,2.38,Slightly Delayed,Traffic
551343632,2,0.79,On Time,Traffic
7961173808,-5,0.58,On Time,
328909145,4,1.52,On Time,Traffic
5551173528,4,1.24,On Time,Traffic
4461788759,5,3.67,On Time,Traffic
7256212429,0,1.74,On Time,
9104077642,-1,2.5,On Time,
2914056235,0,2.9,On Time,
9127632807,5,0.77,On Time,Traffic
6070154414,5,1.12,On Time,Traffic
2318969828,-3,1.54,On Time,
3813047994,-4,4.11,On Time,
1416102774,13,3.89,Slightly Delayed,Traffic
8086834412,-2,2.96,On Time,
6193826826,3,4.12,On Time,Traffic
8444509148,1,2.07,On Time,Traffic
42332130,-3,4.62,On Time,
6009342120,7,2.55,Slightly Delayed,Traffic
4818516411,-3,0.77,On Time,
1039229544,-4,4,On Time,
1515943657,4,2.85,On Time,Traffic
9183547951,-1,3.84,On Time,
8478376092,1,4.44,On Time,Traffic
1454073903,7,1.07,Slightly Delayed,Traffic
2855402284,3,1.43,On Time,Traffic
7245730533,13,3.72,Slightly Delayed,Traffic
2272892659,11,3.17,Slightly Delayed,Traffic
9087377568,-1,0.61,On Time,
8443685057,2,4.12,On Time,Traffic
1590988730,0,1.82,On Time,
7357811417,-1,2.74,On Time,
394951937,5,2.64,On Time,Traffic
3967445448,-1,1,On Time,
6101022928,5,2.35,On Time,Traffic
6322372546,19,3.99,Significantly Delayed,Traffic
9778782281,13,1.54,Slightly Delayed,Traffic
3867563962,-5,1.13,On Time,
9277710098,10,1.62,Slightly Delayed,Traffic
7669322773,2,4.08,On Time,Traffic
3917427529,15,3.25,Slightly Delayed,Traffic
1934158144,5,2,On Time,Traffic
3157338466,-5,0.71,On Time,
9640662474,11,3.54,Slightly Delayed,Traffic
2356272189,1,1.61,On Time,Traffic
1380510406,4,0.78,On Time,Traffic
8008377895,29,4.97,Significantly Delayed,Traffic
3680678403,1,1.06,On Time,Traffic
2847236502,3,4.81,On Time,Traffic
5212392063,-2,3.59,On Time,
3804024939,1,3.59,On Time,Traffic
5395870775,-4,4.3,On Time,
511736499,5,1.88,On Time,Traffic
2895886759,6,2.56,Slightly Delayed,Traffic
6638513435,-3,2.01,On Time,
4168083780,1,1.79,On Time,Traffic
2501516144,-2,3.25,On Time,
7141387557,-2,1.86,On Time,
2747350024,-1,4.75,On Time,
9503407492,18,4.98,Significantly Delayed,Traffic
4845607487,3,3.65,On Time,Traffic
2051769691,-5,0.58,On Time,
1092990139,4,4.37,On Time,Traffic
5527612319,0,1.13,On Time,
8852367079,2,1.95,On Time,Traffic
1666202264,6,1.93,Slightly Delayed,Traffic
8606484804,6,4.72,Slightly Delayed,Traffic
8905341102,-1,4.88,On Time,
5418735913,-2,3.74,On Time,
970377475,-1,3.62,On Time,
7320527109,-1,1.77,On Time,
5120698,15,4.82,Slightly Delayed,Traffic
3812396179,-5,4.05,On Time,
8178951021,18,2.67,Significantly Delayed,Traffic
2479115586,4,2.28,On Time,Traffic
6239453389,-4,4.5,On Time,
3136508414,-3,4.05,On Time,
5521273487,26,1.94,Significantly Delayed,Traffic
5445047872,5,1.85,On Time,Traffic
3678525130,2,4.74,On Time,Traffic
9328056960,7,2.58,Slightly Delayed,Traffic
2109203997,12,3.92,Slightly Delayed,Traffic
556665455,27,2.43,Significantly Delayed,Traffic
6573705785,-4,4.68,On Time,
2609502403,2,0.9,On Time,Traffic
1463293930,-5,0.57,On Time,
8132887999,11,3.77,Slightly Delayed,Traffic
7178789018,-3,3.9,On Time,
2295700159,7,1.35,Slightly Delayed,Traffic
9277089038,8,4.2,Slightly Delayed,Traffic
145057465,-5,1.62,On Time,
9452353274,1,4.42,On Time,Traffic
5434328922,-2,0.77,On Time,
3327051807,3,0.96,On Time,Traffic
1461604569,-1,3.85,On Time,
606518084,0,4.31,On Time,
7637625389,5,1.57,On Time,Traffic
7311621328,30,0.52,Significantly Delayed,Traffic
8790217194,13,1.76,Slightly Delayed,Traffic
1772445313,3,1.4,On Time,Traffic
159394992,1,2.13,On Time,Traffic
7992910755,28,1.99,Significantly Delayed,Traffic
1786931285,-4,3.08,On Time,
2225520858,-2,3.21,On Time,
5635738740,0,0.82,On Time,
2230824358,14,1.33,Slightly Delayed,Traffic
9217211301,-3,1.26,On Time,
4501870609,5,2.15,On Time,Traffic
838401679,15,3,Slightly Delayed,Traffic
9587315528,5,1.12,On Time,Traffic
3122936945,-1,0.97,On Time,
6093390755,3,1.17,On Time,Traffic
2032956677,7,3.45,Slightly Delayed,Traffic
1488430001,14,3.83,Slightly Delayed,Traffic
615391848,-4,3.51,On Time,
8686093533,-4,4.08,On Time,
7038758506,5,3.71,On Time,Traffic
2385966456,7,3.99,Slightly Delayed,Traffic
259622674,5,4.25,On Time,Traffic
2580381935,0,0.56,On Time,
5035471587,1,3.86,On Time,Traffic
9421270813,5,4.69,On Time,Traffic
1831516625,7,4.68,Slightly Delayed,Traffic
1918841793,-4,2.34,On Time,
1757159071,8,1.28,Slightly Delayed,Traffic
7589464630,9,4.41,Slightly Delayed,Traffic
1577085460,-3,2.54,On Time,
2279018877,14,3.4,Slightly Delayed,Traffic
7431412128,3,2.93,On Time,Traffic
8781520615,1,1.71,On Time,Traffic
1276192882,-3,4.08,On Time,
4065794921,25,2.02,Significantly Delayed,Traffic
1690800946,2,0.73,On Time,Traffic
877883470,8,1.93,Slightly Delayed,Traffic
7322044533,12,4.98,Slightly Delayed,Traffic
5243163885,3,2.88,On Time,Traffic
4360255357,8,3.72,Slightly Delayed,Traffic
9623306038,-1,3.54,On Time,
6282385286,4,2.21,On Time,Traffic
1001900652,13,0.53,Slightly Delayed,Traffic
5161988291,-5,4.28,On Time,
3597752998,0,3.13,On Time,
9074325310,5,3.35,On Time,Traffic
8875965392,1,2.12,On Time,Traffic
971081962,-2,0.56,On Time,
1948332638,5,2.86,On Time,Traffic
1785558780,-4,2.32,On Time,
7590462053,1,0.69,On Time,Traffic
2135743860,5,2.05,On Time,Traffic
9851365751,-5,3.35,On Time,
9243090480,29,1.48,Significantly Delayed,Traffic
7168596454,8,3.42,Slightly Delayed,Traffic
2483565595,3,2.28,On Time,Traffic
2484470052,3,3.52,On Time,Traffic
7702588270,-3,3.23,On Time,
5992338333,0,1.51,On Time,
9196796718,4,1.05,On Time,Traffic
3291765954,5,0.79,On Time,Traffic
652616858,7,4,Slightly Delayed,Traffic
2613508245,-5,3.67,On Time,
8169361928,4,2.97,On Time,Traffic
9395982132,4,3.3,On Time,Traffic
1914701538,3,4.07,On Time,Traffic
6236279358,27,3.51,Significantly Delayed,Traffic
2288561509,7,2.78,Slightly Delayed,Traffic
2010415757,-3,0.75,On Time,
7164827734,-3,2.41,On Time,
7971819985,-5,1.42,On Time,
8234021674,3,2.96,On Time,Traffic
4274404843,3,3.88,On Time,Traffic
7353519273,3,4.96,On Time,Traffic
8539612501,14,1.39,Slightly Delayed,Traffic
5894327065,9,3,Slightly Delayed,Traffic
77053363,0,2.79,On Time,
4467084478,14,1.25,Slightly Delayed,Traffic
3514036230,5,4.9,On Time,Traffic
4720421794,15,3.78,Slightly Delayed,Traffic
3202903413,2,3.39,On Time,Traffic
6938082428,6,4.41,Slightly Delayed,Traffic
9202941711,4,4.85,On Time,Traffic
8963522960,3,2.14,On Time,Traffic
9266835891,-1,0.85,On Time,
5265722064,-1,1.85,On Time,
5514326011,1,1.6,On Time,Traffic
9578652103,-3,2.62,On Time,
3559061334,11,3.12,Slightly Delayed,Traffic
637944734,4,2.16,On Time,Traffic
7454643275,-3,3.9,On Time,
4319342350,22,4.35,Significantly Delayed,Traffic
7568450733,-3,4.36,On Time,
734744305,3,2.06,On Time,Traffic
5233331050,3,3.36,On Time,Traffic
8326867788,0,2.53,On Time,
8368819094,-1,2.67,On Time,
8700151605,25,4.17,Significantly Delayed,Traffic
6269179048,-2,1.07,On Time,
1265254177,-2,3.55,On Time,
9858963919,29,3.87,Significantly Delayed,Traffic
7279564594,-4,1.86,On Time,
6983253839,1,4.36,On Time,Traffic
9479808024,-4,2.46,On Time,
3583522679,1,0.96,On Time,Traffic
1923226423,2,3.73,On Time,Traffic
664198080,-1,2.9,On Time,
4224700084,0,2.73,On Time,
969621016,5,2.17,On Time,Traffic
8178275820,12,2.27,Slightly Delayed,Traffic
4949766982,4,2.3,On Time,Traffic
5258344385,4,1.13,On Time,Traffic
8101930640,5,4.71,On Time,Traffic
6703316563,15,4.65,Slightly Delayed,Traffic
7680297690,2,4.55,On Time,Traffic
7256340388,29,3.92,Significantly Delayed,Traffic
2538269668,0,2.15,On Time,
7506762237,23,4.76,Significantly Delayed,Traffic
6585436114,7,2.49,Slightly Delayed,Traffic
9852996866,-5,1.69,On Time,
1991135167,1,1.43,On Time,Traffic
7765110772,-3,3.16,On Time,
3520718052,0,3.85,On Time,
5388573375,0,4.54,On Time,
8977771682,-3,3.31,On Time,
3596900942,13,2.24,Slightly Delayed,Traffic
155295996,4,2.14,On Time,Traffic
1945536198,4,2.21,On Time,Traffic
2550246555,8,2.42,Slightly Delayed,Traffic
4287631655,21,0.53,Significantly Delayed,Traffic
2033683703,16,0.78,Significantly Delayed,Traffic
9453583714,-3,2.23,On Time,
852886125,-4,3.55,On Time,
5705899665,-1,4.91,On Time,
5706043483,4,4.04,On Time,Traffic
5190422833,-1,4.34,On Time,
7178188501,-1,3.33,On Time,
2864819888,4,3.51,On Time,Traffic
7107216633,6,1.41,Slightly Delayed,Traffic
1685382357,16,1.64,Significantly Delayed,Traffic
7562902958,1,3.27,On Time,Traffic
2819953077,12,4.25,Slightly Delayed,Traffic
8453462258,-4,0.83,On Time,
4605056279,3,3.2,On Time,Traffic
5998035939,-2,3.32,On Time,
2311501690,-2,4.33,On Time,
356495722,0,4.52,On Time,
2695448838,7,1.36,Slightly Delayed,Traffic
6986791144,12,4.04,Slightly Delayed,Traffic
8619571588,-3,2.34,On Time,
4088553674,27,4.81,Significantly Delayed,Traffic
8177907004,25,3.11,Significantly Delayed,Traffic
8533749006,8,4.51,Slightly Delayed,Traffic
8694014791,8,1.27,Slightly Delayed,Traffic
6311012195,-2,3.44,On Time,
1312767771,5,1.58,On Time,Traffic
214919848,5,2.87,On Time,Traffic
5521682945,8,4.67,Slightly Delayed,Traffic
5305770811,6,1.74,Slightly Delayed,Traffic
5842420654,6,2.08,Slightly Delayed,Traffic
4566893863,-1,3.38,On Time,
1523729855,-1,4.46,On Time,
2899786983,1,4.79,On Time,Traffic
9202528884,30,4.54,Significantly Delayed,Traffic
4338327693,13,4.94,Slightly Delayed,Traffic
6295686357,-1,4.41,On Time,
6396194687,4,3.68,On Time,Traffic
5662786245,1,3.05,On Time,Traffic
4868150114,17,3.86,Significantly Delayed,Traffic
502764834,5,3.37,On Time,Traffic
5056125341,11,0.77,Slightly Delayed,Traffic
6388618916,1,4.19,On Time,Traffic
3508668494,0,2.62,On Time,
5289436093,26,3.44,Significantly Delayed,Traffic
7596333614,3,4.44,On Time,Traffic
6284076508,1,3.07,On Time,Traffic
340050407,-3,4.06,On Time,
5927472701,-2,2.81,On Time,
9216536492,1,2.87,On Time,Traffic
3742662928,-3,2.81,On Time,
4797768073,18,3.18,Significantly Delayed,Traffic
6767935470,1,4.68,On Time,Traffic
1963703928,-3,1.88,On Time,
552470423,-4,3.92,On Time,
